artists,track_name,popularity,duration_ms,explicit,danceability,energy,valence,tempo,track_genre
Cigarettes After Sex,Touch,65,292853,False,0.483,0.5,0.368,95.981,pop
Eason Chan,最佳損友,52,233560,False,0.605,0.542,0.324,144.154,pop
Blondie,Rapture - Rerecorded 2014 Version,25,333505,False,0.691,0.862,0.909,107.343,pop
Anupam Roy,Aisi Raaton,62,218930,False,0.517,0.443,0.538,176.035,pop
Andrew Gold,How Can This Be Love,21,239933,False,0.669,0.568,0.766,123.786,pop
Indochine,Hors-la-loi,22,187133,False,0.663,0.791,0.979,160.056,pop
Alex To,情人,46,218760,False,0.62,0.6,0.352,87.867,pop
Norah Jones,Christmas Calling (Jolly Jones),0,200461,False,0.43,0.543,0.354,143.912,pop
Sam Smith,The Lighthouse Keeper,0,247493,False,0.394,0.17,0.315,130.721,pop
Ed Sheeran;Throttle,Castle On the Hill - Throttle Remix,0,220879,False,0.586,0.86,0.203,138.03,pop
Santhosh Narayanan;Anirudh Ravichander,"Thenmozhi (From ""Thiruchitrambalam"")",79,173225,False,0.764,0.532,0.859,123.95,pop
Jacky Cheung,遙遠的她,45,262320,False,0.576,0.344,0.314,76.991,pop
Peter Schilling,Major Tom - Coming Home,65,301373,False,0.787,0.42,0.838,161.247,pop
Daniel Lo;林淑容,無言的結局,27,230626,False,0.575,0.628,0.701,83.042,pop
Nakash Aziz;Mangli;B. Ajaneesh Loknath,"Ra Ra Rakkamma (From ""Vikrant Rona"")",68,218418,False,0.832,0.962,0.359,130.006,pop
Dhanush;Arivu,"Polladha Ulagam (From ""Maaran"")",0,235447,False,0.73,0.771,0.628,135.972,pop
chloe moriondo,Fruity,0,192933,False,0.672,0.648,0.627,128.004,pop
Dinosaur Jr.,How'd You Pin That One On Me,23,263600,False,0.192,0.966,0.338,100.32,pop
Halsey,So Good,77,176058,False,0.576,0.627,0.311,164.998,pop
Zaeden;AAKASH,Paas Aa,45,122052,False,0.705,0.632,0.534,94.942,pop
BTS,Jamais Vu,61,227275,False,0.608,0.47,0.241,81.0,pop
Juno Mak,念念不忘,43,271353,False,0.431,0.687,0.351,141.811,pop
Måneskin,SUPERMODEL,83,148064,False,0.636,0.876,0.799,120.983,pop
Vijay Antony;Surchith;Sangeetha Rajeshwaran,Karigalan,54,255413,False,0.795,0.832,0.773,131.986,pop
『ユイカ』,好きだから。,65,298663,False,0.607,0.498,0.714,164.993,pop
Tanya Chua,让浪漫作主,58,250898,False,0.38,0.342,0.218,77.74,pop
lovelytheband,broken,70,204878,False,0.666,0.728,0.51,122.996,pop
BTS,Outro: Wings,66,225446,False,0.651,0.903,0.658,125.032,pop
Halina Frackowiak,Bądź gotowy do drogi,26,233719,False,0.615,0.464,0.812,86.021,pop
Cheer Chen,我喜歡上你時的内心活動,43,205973,False,0.347,0.333,0.297,145.245,pop
Hayley Kiyoko,for the girls,0,158486,False,0.753,0.652,0.55,136.138,pop
Sia,Unstoppable,81,217746,False,0.468,0.779,0.26,173.799,pop
Eason Chan,兄妹,45,210141,False,0.557,0.432,0.418,140.006,pop
The Weeknd,Blinding Lights,3,201573,False,0.512,0.796,0.344,171.014,pop
Yuvan Shankar Raja;Naresh Iyer,Azhagho Azhaghu,48,290693,False,0.83,0.603,0.789,108.039,pop
A-Mei Chang,聽海,56,318333,False,0.528,0.388,0.138,123.894,pop
Electroforez,Quo vadis?,39,222546,False,0.581,0.879,0.513,109.979,pop
Fine Young Cannibals,She Drives Me Crazy,74,215773,False,0.799,0.687,0.965,108.804,pop
Ekin Cheng,我的歌,25,232226,False,0.661,0.352,0.265,75.196,pop
Michael Bublé,I'll Never Not Love You,60,218390,False,0.492,0.791,0.585,144.363,pop
BTS,No More Dream,66,222066,False,0.438,0.864,0.594,167.898,pop
Weezer,What Happens After You?,56,199592,False,0.646,0.607,0.536,123.033,pop
TWICE,I CAN'T STOP ME,76,205493,False,0.657,0.88,0.769,150.084,pop
Faye Wong,匆匆那年,51,241000,False,0.547,0.343,0.401,127.977,pop
Karen Mok,外面的世界,50,271786,False,0.452,0.161,0.173,131.644,pop
Stefanie Sun,風衣,44,242951,False,0.602,0.381,0.401,125.918,pop
Jack Harlow,First Class,0,173947,True,0.905,0.563,0.324,106.998,pop
ToNick,回憶備份,21,283561,False,0.462,0.394,0.238,145.954,pop
Jay Fung,世界劇團,20,222440,False,0.695,0.634,0.693,109.02,pop
Nithya Balaji;Abhishek Pughazh,Vaaya En Veera X Nee Tholaindhayo,47,265364,False,0.549,0.394,0.188,122.775,pop
The Local Train,Khudi,52,297642,False,0.626,0.79,0.539,127.039,pop
Khalil Fong,Nothing's gonna change my love for you,52,209440,False,0.631,0.514,0.385,131.499,pop
Kajagoogoo,Too Shy - 2004 Remaster,0,225853,False,0.691,0.79,0.746,108.265,pop
Lunachicks,Babysitters on Acid,22,247493,True,0.363,0.922,0.498,103.696,pop
JVKE,this is what falling out of love feels like,40,141163,False,0.323,0.807,0.366,173.874,pop
The Human League,The Sound Of The Crowd - Remastered 2002,0,244906,False,0.772,0.544,0.89,145.0,pop
The Smithereens,Out Of This World,22,213080,False,0.598,0.936,0.722,118.13,pop
Matt Maltese,As the World Caves In,71,218754,False,0.327,0.449,0.179,123.969,pop
The Weeknd;Daft Punk,Starboy,90,230453,True,0.679,0.587,0.486,186.003,pop
George Lam,莫再悲,22,212000,False,0.591,0.504,0.296,175.911,pop
Indochine,La nuit des fées,26,298213,False,0.55,0.663,0.487,83.969,pop
Perry Como,Killing Me Softly With Her Song,47,268160,False,0.493,0.117,0.243,103.712,pop
my little airport,時代的孩子 節錄 - Live,28,95304,False,0.496,0.14,0.146,101.809,pop
Stephen Sanchez,Until I Found You,90,177720,False,0.539,0.508,0.227,101.358,pop
Eric Chou,怎麼了,62,321040,False,0.502,0.565,0.253,139.926,pop
Charan Raj;Siddhartha Belmannu,Balma,43,194000,False,0.594,0.567,0.185,134.932,pop
Eason Chan,孤勇者 - Live 版 /《英雄聯盟:雙城之戰》動畫劇集中文主題曲,44,282723,False,0.456,0.488,0.354,129.887,pop
張芸京,偏愛,51,212800,False,0.602,0.526,0.378,139.939,pop
Mad Tsai,killer queen,73,178888,True,0.69,0.732,0.636,107.977,pop
Modern Talking,Sexy Sexy Lover - Vocal Version,53,213400,True,0.675,0.987,0.959,128.673,pop
Dua Lipa;DaBaby,Levitating,0,203064,False,0.702,0.825,0.915,102.977,pop
my little airport,心,31,152570,False,0.349,0.353,0.211,105.994,pop
The Stranglers,Peaches,1,247080,False,0.569,0.577,0.961,71.707,pop
Tribal Rain,Jiunu Nai Hola,49,235232,False,0.617,0.426,0.4,154.025,pop
Rohit John Chettri,Bistarai,44,228506,False,0.623,0.484,0.349,140.016,pop
PornoGraffitti,THE DAY,64,241626,False,0.512,0.933,0.465,92.998,pop
Kep1er,Up!,73,192026,False,0.753,0.932,0.918,124.006,pop
Tatiana Bulanova,Ясный мой свет (Velum Remix),46,69361,False,0.623,0.83,0.635,180.067,pop
Mayday,洋蔥,52,275680,False,0.486,0.585,0.224,129.784,pop
Faye Wong,曖昧,49,280666,False,0.294,0.467,0.322,207.724,pop
Sangeetha Rajeev,Thank You Maa,42,126147,False,0.705,0.568,0.475,122.026,pop
Fountains Of Wayne,Hackensack,47,180093,False,0.675,0.52,0.701,117.008,pop
Jamie Cullum,It's Christmas,0,180626,False,0.534,0.533,0.478,136.854,pop
Terence Lam,夏之風物詩,55,208636,False,0.689,0.702,0.884,110.008,pop
Hoodoo Gurus,The Right Time - Remaster 2005,32,233560,False,0.412,0.998,0.31,165.509,pop
Norah Jones,Christmas Calling (Jolly Jones),0,200461,False,0.43,0.543,0.354,143.912,pop
Kelly Chen,Love Paradise,51,196266,False,0.636,0.449,0.301,80.008,pop
Paul Young,Every Time You Go Away - Single Version,54,257959,False,0.621,0.484,0.506,164.199,pop
Pet Shop Boys,West End Girls,58,241986,False,0.627,0.905,0.644,113.247,pop
Michael Bublé,Holly Jolly Christmas,2,119786,False,0.649,0.466,0.699,151.251,pop
Yoshiki;HYDE,Red Swan,63,263720,False,0.275,0.782,0.154,131.744,pop
SID,嘘,60,205973,False,0.438,0.939,0.842,179.853,pop
Grasshopper,又愛又恨,19,264333,False,0.638,0.931,0.555,120.069,pop
Men Without Hats,The Safety Dance,60,164866,False,0.525,0.882,0.623,101.674,pop
milet;Aimer;Lilas Ikuta,おもかげ (produced by Vaundy),66,188060,False,0.488,0.638,0.713,207.906,pop
Mel & Kim,Respectable,57,202640,False,0.697,0.971,0.89,122.274,pop
Senri Oe,格好悪いふられ方,43,237773,False,0.732,0.939,0.96,132.148,pop
Byejack;Slizznico,兩旬之歌,31,207461,False,0.754,0.377,0.207,115.021,pop
Weezer,Pink Triangle,58,238600,False,0.282,0.894,0.466,118.809,pop
CHVRCHES,Do I Wanna Know? (triple j Like A Version),50,258146,False,0.603,0.656,0.664,174.029,pop
Arijit Singh;Parampara Tandon,Pal Pal Dil Ke Paas- Title Track,71,254516,False,0.56,0.512,0.39,123.991,pop
RADWIMPS,Dream lantern,63,131666,False,0.206,0.871,0.125,175.6,pop
Mr.Children,fantasy,38,261839,False,0.538,0.802,0.588,116.003,pop
Shreya Ghoshal;Palakad Sreeram;Mahesh Vinayakram,Ratchasa Maamaney,71,289942,False,0.546,0.786,0.434,99.798,pop
HyunA,I'm Not Cool,66,174173,False,0.883,0.845,0.656,116.004,pop
Jubin Nautiyal;Payal Dev,Meri Tarah,49,290037,False,0.536,0.857,0.568,89.652,pop
Anthony Wong,罅隙,26,272066,False,0.608,0.38,0.366,123.977,pop
Dillinger Four,"""Contemplate This on the Tree of Woe.""",24,180706,False,0.565,0.977,0.387,106.478,pop
Sukima Switch,Ah Yeah!!,50,308066,False,0.481,0.933,0.502,140.061,pop
My Hair is Bad,熱狂を終え,36,216533,False,0.366,0.97,0.682,196.863,pop
Andy Lau,十七歲,44,240106,False,0.637,0.41,0.383,80.014,pop
The Replacements,Can't Hardly Wait - The Tim Version,23,186173,False,0.373,0.952,0.342,146.048,pop
OAFF;Savera;Shalmali Kholgade;Kausar Munir,Beqaaboo,59,187266,False,0.679,0.663,0.511,123.985,pop
Marc Almond,The Stars We Are,25,224016,False,0.488,0.599,0.224,134.331,pop
Labrinth,Still Don't Know My Name,80,153294,False,0.316,0.63,0.313,89.643,pop
Jacky Cheung;Regine Velasquez,In Love With You,24,264040,False,0.483,0.438,0.154,71.003,pop
Jimmy Eat World,The Middle,81,165853,False,0.643,0.849,0.903,162.152,pop
Tribal Rain,Sunyata,45,231784,False,0.682,0.462,0.529,96.054,pop
my little airport,今天沒大麻在身 - Live,27,130207,False,0.501,0.606,0.691,101.796,pop
Wang Chung,Everybody Have Fun Tonight,59,287360,False,0.728,0.619,0.747,128.845,pop
Vickeblanka,Black Catcher,68,195000,False,0.586,0.892,0.665,100.04,pop
Shamoon Ismail,Khayal,44,186985,False,0.56,0.152,0.293,156.168,pop
Indochine,J'ai demandé à la lune,27,209413,False,0.726,0.636,0.546,110.007,pop
Aaron Kwok;Frankie,鐵幕誘惑,24,246960,False,0.773,0.869,0.426,110.23,pop
A-Lin,給我一個理由忘記,57,285546,False,0.399,0.512,0.197,133.175,pop
Yuvan Shankar Raja;Roop Kumar Rathod,Oru Devathai,63,296760,False,0.625,0.492,0.28,120.033,pop
Elvis Costello;The Imposters,What If I Can't Give You Anything But Love?,22,243510,False,0.454,0.839,0.531,120.017,pop
Bahamas,Christmas Must Be Tonight,0,227173,False,0.587,0.329,0.337,126.632,pop
The Backseat Lovers,Kilby Girl,78,282205,False,0.329,0.444,0.225,162.279,pop
Hayley Kiyoko,sugar at the bottom,0,185995,False,0.866,0.565,0.549,101.985,pop
Cass Phang,漩渦,41,245906,False,0.721,0.519,0.419,122.926,pop
SEAMO,Continue,40,256466,False,0.625,0.841,0.478,94.969,pop
Madeleine Peyroux;Michel Legrand,Have Yourself A Merry Little Christmas,0,227240,False,0.319,0.332,0.224,67.231,pop
BLACKPINK,Ready For Love,76,184677,False,0.564,0.682,0.551,107.597,pop
The dB's,That Time Is Gone,26,212720,False,0.393,0.917,0.664,130.451,pop
Denise Ho,出走太平洋,31,264240,False,0.491,0.486,0.346,133.903,pop
The Queers,You're Tripping,31,111280,False,0.43,0.962,0.595,146.568,pop
my little airport,菊花的味道,32,128000,False,0.632,0.473,0.151,120.149,pop
my little airport,搭的士上班去,29,125088,False,0.561,0.831,0.939,142.054,pop
JEON SOMI,BIRTHDAY,56,185944,False,0.678,0.827,0.556,179.972,pop
Jolin Tsai,玫瑰少年,54,191718,False,0.648,0.716,0.287,98.014,pop
BTS,Begin,66,229740,False,0.566,0.842,0.308,131.05,pop
The Human League,Don't You Want Me,1,236920,False,0.744,0.686,0.894,117.483,pop
my little airport,"王菲,關於你的眉",29,145281,False,0.353,0.368,0.425,181.486,pop
BLACKPINK,Don't Know What To Do,66,201081,False,0.628,0.64,0.409,129.815,pop
AP Dhillon,Summer High,83,177391,False,0.86,0.541,0.952,114.984,pop
tacica,newsong,52,211573,False,0.555,0.896,0.7,128.057,pop
Kay Tse,鍾無艷,45,278573,False,0.629,0.429,0.336,112.206,pop
李龍基,路直路彎,23,144813,False,0.698,0.297,0.591,121.963,pop
Glass Animals,Heat Waves,83,238805,False,0.761,0.525,0.531,80.87,pop
salem ilese,Marry Christmas,0,162009,False,0.541,0.753,0.572,149.743,pop
Pet Shop Boys,Suburbia,55,244306,False,0.53,0.873,0.456,126.16,pop
IU,BBIBBI,69,194426,False,0.839,0.617,0.821,143.894,pop
Elvis Costello & The Attractions,Accidents Will Happen,24,181480,False,0.605,0.65,0.677,120.129,pop
Fujii Kaze,まつり,68,225920,False,0.663,0.731,0.356,97.025,pop
Oingo Boingo,Dead Man's Party,0,378733,False,0.567,0.92,0.9,161.004,pop
White Reaper,Cool,23,161266,False,0.136,0.983,0.431,170.673,pop
Strawberry Switchblade,Trees and Flowers,57,194821,False,0.426,0.732,0.805,118.807,pop
New Order,Dreams Never End - 2015 Remaster,58,195306,False,0.606,0.913,0.817,146.15,pop
Malik Djoudi;Étienne Daho,A tes côtés (En duo avec Etienne Daho),23,214240,False,0.777,0.696,0.685,130.001,pop
Sanah Moidutty,Vennila Chandana Kinnam - Recreated Version,50,184500,False,0.766,0.267,0.312,119.973,pop
The Posies,Grant Hart,22,144973,False,0.263,0.957,0.204,172.932,pop
Yoga Lin,說謊,54,264160,False,0.54,0.474,0.22,128.051,pop
Gippy Grewal;Tanu Grewal,Nawa Nawa Pyaar,65,139756,False,0.811,0.757,0.958,81.972,pop
Briston Maroney,Paradise,0,164466,False,0.477,0.93,0.779,150.072,pop
ELLEGARDEN,Bored Of Everything,38,201306,False,0.481,0.917,0.616,145.894,pop
Will Joseph Cook;chloe moriondo,Be Around Me (feat. chloe moriondo),56,181249,True,0.679,0.741,0.733,165.085,pop
Yuvan Shankar Raja;Ranjith Govind;Pavithra Chari,Manase Manihaarame,46,229536,False,0.661,0.53,0.661,157.523,pop
Kite,Demons & Shame,23,328680,False,0.313,0.86,0.249,163.094,pop
The Lemonheads,Rick James Style,21,197639,False,0.607,0.515,0.392,106.533,pop
Yuvan Shankar Raja,Oru Naalil,63,384256,False,0.712,0.422,0.772,80.014,pop
Mr.Children,靴ひも,37,262373,False,0.664,0.824,0.475,122.014,pop
TRASH,終究還是因為愛,62,285222,False,0.552,0.8,0.182,126.027,pop
Weezer,Undone - The Sweater Song,72,305533,False,0.457,0.618,0.579,80.184,pop
JJ Lin,美人魚,52,252000,False,0.624,0.647,0.452,95.021,pop
Chelsea Cutler,Devil On My Shoulder,0,212493,True,0.661,0.323,0.372,129.955,pop
Eurythmics;Annie Lennox;Dave Stewart,There Must Be an Angel (Playing with My Heart),25,321106,False,0.599,0.78,0.648,112.046,pop
Tubeway Army,I Only Rewind,0,250026,False,0.627,0.704,0.781,141.891,pop
Imran Khan,Amplifier,70,232906,False,0.727,0.714,0.618,164.003,pop
Jay Chou,最偉大的作品,51,244046,False,0.432,0.58,0.23,159.908,pop
詹雅雯,出外人,25,248266,False,0.641,0.545,0.337,103.954,pop
Simple Minds,"Let There Be Love - 7"" Mix / Remastered 2013",26,284760,False,0.528,0.84,0.567,88.015,pop
HANA,說過放下 - 電視劇《錦繡南歌》主題曲,20,230613,False,0.591,0.329,0.313,109.955,pop
Billie Eilish,bury a friend,5,193143,False,0.887,0.388,0.205,120.035,pop
Jamie Cullum;Michel Legrand,Let It Snow,1,198320,False,0.494,0.644,0.733,124.82,pop
NICKTHEREAL,我做的是愛不是夢,55,219556,False,0.612,0.941,0.367,123.971,pop
Guadalcanal Diary,Always Saturday,26,254600,False,0.477,0.491,0.68,130.706,pop
Joe Jackson,I'm The Man,0,238666,False,0.484,0.969,0.647,173.478,pop
Laura Branigan,Gloria,63,295066,False,0.775,0.866,0.875,131.338,pop
Justin Bieber,Christmas Eve,1,223613,False,0.409,0.57,0.336,128.657,pop
Alka Yagnik;Kumar Sanu,Main Toh Raste Se Ja Raha Tha,49,318706,False,0.424,0.769,0.964,189.085,pop
陳中;邱芸子,茫茫到深更,23,265853,False,0.491,0.51,0.147,138.109,pop
Kite,True Colours - Live at the Royal Opera,27,378733,False,0.246,0.639,0.0528,93.789,pop
Yeni Türkü,Sevgi Özleyendir,39,195186,False,0.458,0.655,0.38,80.174,pop
Taha G;Maanu,Dou Pal,50,173881,False,0.74,0.64,0.376,118.019,pop
Terence Lam,聽風 in D major,45,196912,False,0.305,0.129,0.394,160.66,pop
Jay Chou;Ashin Chen,說好不哭,59,220693,False,0.513,0.363,0.383,151.828,pop
Jay Chou,我是如此相信,46,266382,False,0.507,0.501,0.134,137.975,pop
CHVRCHES,ZVVL,15,190986,False,0.544,0.918,0.296,130.128,pop
Eason Chan,K歌之王,50,218050,False,0.396,0.353,0.288,76.276,pop
Rene Liu,我們沒有在一起,46,279560,False,0.662,0.502,0.307,110.076,pop
BTS,I'm Fine,68,240339,False,0.511,0.84,0.303,87.605,pop
Nikki and the Corvettes,Let's Go,22,74333,False,0.596,0.763,0.93,111.981,pop
Lana Del Rey,Blue Banisters,1,293692,False,0.373,0.114,0.172,90.945,pop
Prem Dhillon,Nah They Can’t,70,204255,True,0.615,0.623,0.266,92.937,pop
Glass Animals,Heat Waves,1,238805,False,0.761,0.525,0.531,80.87,pop
CHiCO with HoneyWorks,世界は恋に落ちている,58,312826,False,0.627,0.884,0.456,130.061,pop
sad alex,dating myself,52,144000,False,0.849,0.499,0.729,77.468,pop
La Roux,Bulletproof,71,205733,False,0.674,0.882,0.682,123.016,pop
The Local Train,Aaftaab,58,233471,False,0.464,0.391,0.418,106.887,pop
Oh Wonder,Better Now,0,198342,False,0.569,0.364,0.507,114.181,pop
Selena Gomez & The Scene,Who Says,77,195613,False,0.682,0.927,0.744,101.019,pop
Ellie Goulding,Burn,71,231211,False,0.559,0.777,0.329,87.016,pop
Screeching Weasel,What We Hate,27,146266,False,0.352,0.989,0.488,136.964,pop
La Roux;GAMPER & DADONI,Bulletproof,0,162213,False,0.752,0.771,0.527,126.02,pop
Andrew Gold,It Must Be Halloween,0,176933,False,0.507,0.472,0.527,117.053,pop
King,Pablo,66,279120,True,0.731,0.73,0.503,79.999,pop
音樂磁場,大約在冬季,22,200400,False,0.68,0.31,0.521,76.898,pop
Sanah Moidutty,Sreeragamo - Rendition,44,225463,False,0.715,0.44,0.215,95.879,pop
glass beach,cold weather,62,138119,True,0.341,0.661,0.675,154.99,pop
李千那,"不曾回來過 - 電視劇""通靈少女""插曲",0,270654,False,0.533,0.419,0.315,170.034,pop
Neha Kakkar;Tanishk Bagchi,"Gali Gali (From ""Kgf Chapter 1"")",66,174711,False,0.789,0.95,0.746,126.013,pop
Jill Vidal,缺氧,19,211029,False,0.707,0.429,0.591,139.966,pop
Masaharu Fukuyama,Good night,35,354213,False,0.522,0.498,0.221,145.908,pop
Andrew Gold,Thank You for Being a Friend,48,280760,False,0.695,0.568,0.786,111.887,pop
Kailee Morgue,Siren,63,200266,False,0.603,0.512,0.271,145.91,pop
Bob Mould,Sinners And Their Repentances,22,246240,False,0.436,0.29,0.304,128.048,pop
Ladytron,Destroy Everything You Touch,47,276493,False,0.524,0.771,0.705,120.336,pop
Stella Jang,Colors,58,101635,False,0.734,0.295,0.788,199.99,pop
Hacken Lee,紅日 - 電視劇「他來自天堂」主題曲,49,287173,False,0.739,0.77,0.727,120.099,pop
Aaron Kwok,是雨還是眼淚,20,231800,False,0.628,0.393,0.173,120.508,pop
Aaron Kwok;Frankie,鐵幕誘惑,24,246960,False,0.773,0.869,0.426,110.23,pop
Squeeze,Another Nail In My Heart,23,178400,False,0.536,0.593,0.869,150.219,pop
salem ilese,Marry Christmas,1,162009,False,0.541,0.753,0.572,149.743,pop
湯寶如,越難越愛你,19,274213,False,0.367,0.414,0.183,86.342,pop
Radioactivity,Silent Kill,24,90893,False,0.407,0.967,0.639,97.456,pop
ZUTOMAYO,袖のキルト,1,255173,False,0.749,0.813,0.658,116.964,pop
Buffalo Tom,Tree House,20,255760,False,0.277,0.952,0.345,137.57,pop
Eason Chan,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,67,256000,False,0.615,0.535,0.293,130.025,pop
yama,麻痺,58,198040,False,0.309,0.941,0.704,100.02,pop
Beyond,早班火車,42,351506,False,0.217,0.539,0.312,89.129,pop
Mansfield.TYA,La montagne magique,24,260720,False,0.492,0.452,0.0596,121.034,pop
Dave Edmunds,King of Love,25,191320,False,0.388,0.831,0.8,173.636,pop
Daisy the Great;AJR,Record Player (with AJR),70,149538,False,0.665,0.684,0.927,73.986,pop
Tove Styrke,Fyll upp mitt glas nu,28,184687,False,0.327,0.503,0.262,109.831,pop
Eric Chou,離開你以後 - 電影《你的婚禮》插曲,59,309840,False,0.24,0.469,0.24,154.969,pop
[Alexandros],ムーンソング,0,260693,False,0.538,0.919,0.658,134.014,pop
BTS,Telepathy,70,202313,False,0.787,0.669,0.57,104.994,pop
Tove Lo;The Young Professionals,Talking Body - The Young Professionals Remix,44,221146,True,0.651,0.579,0.443,138.993,pop
my little airport,20GB,40,177411,False,0.658,0.318,0.518,123.834,pop
Nicholas Teo,当你孤单你会想起谁,53,255440,False,0.668,0.499,0.297,91.006,pop
Devin Kennedy,Hurt U,59,172493,False,0.678,0.558,0.574,147.98,pop
Gracie Abrams,Mess It Up,0,171280,False,0.765,0.582,0.36,132.992,pop
Kombi,Linia życia,26,250133,False,0.506,0.912,0.57,154.997,pop
Alka Yagnik;Kumar Sanu,Mohabbat Ho Na Jaye - Dekha Jo Tumko,50,395560,False,0.515,0.629,0.476,139.905,pop
Jacky Cheung,還是覺得你最好,45,322306,False,0.497,0.294,0.308,173.993,pop
Cheap Trick,The Flame,66,338800,False,0.629,0.581,0.359,97.074,pop
Ado,踊,66,210346,False,0.709,0.962,0.767,128.013,pop
Modern Talking,"You're My Heart, You're My Soul '98",60,230266,False,0.752,0.938,0.967,119.322,pop
OAFF;Savera;Skeletron;Lothika;Ankur Tewari,Gehraiyaan - Skeletron Remix,48,144419,False,0.686,0.555,0.148,77.009,pop
Ricky Rich;Dardan;DJ Gimi-O,Habibi - Albanian Remix,76,129589,False,0.639,0.728,0.0996,103.966,pop
Prateek Kuhad,Kasoor,70,197549,False,0.558,0.497,0.444,107.047,pop
Akhil Sachdeva,Mere Liye,66,293176,False,0.363,0.662,0.301,178.213,pop
Aaron Kwok,你是我最愛寶貝的寶貝,20,282960,False,0.505,0.338,0.0986,109.73,pop
The Lemonheads,Half The Time,23,165666,False,0.457,0.601,0.656,78.096,pop
Andrew Gold,Trick Or Treat,0,206066,False,0.807,0.631,0.972,120.058,pop
Eva Dahlgren,Vem tänder stjärnorna,37,240746,False,0.517,0.603,0.477,161.741,pop
Kamal Haasan;Priya Hemesh,Neela Vaanam,57,267280,False,0.514,0.475,0.164,92.374,pop
One Direction,Steal My Girl,80,228133,False,0.536,0.768,0.545,77.217,pop
Yuvan Shankar Raja;Haricharan;Tanvi Shah,"Thuli Thuli (From ""Paiya"")",56,283346,False,0.706,0.528,0.634,92.021,pop
Royal Headache,Never Again,24,129639,False,0.176,0.753,0.47,102.101,pop
Paul Young,Every Time You Go Away,61,324346,False,0.608,0.604,0.673,164.254,pop
Nick Lowe,Half a Boy and Half a Man,24,175640,False,0.538,0.894,0.963,153.384,pop
Ilaiyaraaja;Bela Shende,Vaanam Mella,55,362893,False,0.655,0.434,0.509,111.94,pop
櫻坂46,ジャマイカビール,40,202800,False,0.7,0.876,0.787,117.983,pop
BURNOUT SYNDROMES,FLY HIGH!!,51,246000,False,0.473,0.964,0.345,94.573,pop
Anupam Roy,Lamhe Guzar Gaye,45,258069,False,0.575,0.394,0.271,94.936,pop
The Plimsouls,Oldest Story In The World,27,217106,False,0.415,0.806,0.211,126.598,pop
Indochine,Tes yeux noirs,24,264973,False,0.584,0.89,0.806,136.652,pop
Indochine;Joachim Garraud;Ridwello,Un été français - Joachim Garraud & Ridwello Remix,23,309933,False,0.717,0.846,0.368,125.988,pop
Paulo Sérgio,Índia,40,245573,False,0.554,0.467,0.827,123.013,pop
Yuvan Shankar Raja;Harini Ivaturi,Ee Raathale,52,232762,False,0.63,0.528,0.551,124.0,pop
須田景凪,veil,58,209636,False,0.559,0.873,0.797,150.054,pop
Yuvan Shankar Raja;Sadhana Sargam,Eno Kangal,44,329826,False,0.784,0.786,0.786,109.996,pop
Laura Branigan,Self Control,12,247293,False,0.738,0.876,0.806,106.606,pop
The Soft Boys,Queen of Eyes,24,121053,False,0.361,0.924,0.63,139.54,pop
Duran Duran,Come Undone,69,256519,False,0.542,0.793,0.708,173.931,pop
Glass Animals,Heat Waves,0,238805,False,0.761,0.525,0.531,80.87,pop
Alka Yagnik;Udit Narayan,Zindagi Ban Gaye Ho Tum,50,336973,False,0.363,0.797,0.735,77.67,pop
Halsey,Bad At Love,74,181279,False,0.675,0.751,0.612,118.384,pop
Ex Hex,How You Got That Girl,22,186226,False,0.626,0.726,0.459,140.444,pop
Vidyasagar;Udit Narayan;Shreya Ghoshal,Thaen Thaen Thaen,46,238600,False,0.713,0.808,0.733,96.978,pop
A.R. Rahman;Thamarai,"Marakkuma Nenjam - From ""Vendhu Thanindhathu Kaadu""",68,258319,False,0.662,0.394,0.326,119.938,pop
Karen Mok,慢慢喜歡你,58,221447,False,0.601,0.316,0.375,130.118,pop
Tanju Okan,Dostlarım,40,247560,False,0.328,0.613,0.473,99.824,pop
Beach Slang,Noisy Heaven,21,149130,True,0.196,0.877,0.211,144.488,pop
The Falcon,Sailor's Grave,22,153295,False,0.507,0.884,0.767,113.994,pop
Daniel Chan,劃火柴,52,214533,False,0.545,0.53,0.426,136.023,pop
Electroforez;superkomfort,Фотограф,53,143661,False,0.805,0.879,0.912,142.0,pop
Karan Randhawa,Phulkari,63,196133,False,0.547,0.785,0.764,81.781,pop
Jody Chiang,黃昏思鄉,24,205813,False,0.5,0.48,0.549,176.316,pop
Sanah Moidutty,Karutha Penne - Rendition,39,213639,False,0.903,0.449,0.198,121.984,pop
Beach House,Take Care,49,348440,False,0.567,0.865,0.421,110.851,pop
When Chai Met Toast,Kahaani,41,215173,False,0.596,0.358,0.43,94.932,pop
Royal & the Serpent,Happier in Hell,0,173172,False,0.372,0.522,0.326,138.552,pop
ORANGE RANGE,*〜アスタリスク〜,61,255906,False,0.57,0.931,0.677,127.988,pop
Aaron Kwok;Kaiel Chen;Zhang Yong Fu and Eric Chen,渴望,23,241720,False,0.712,0.82,0.407,120.026,pop
Ellie Goulding;Juice WRLD,Hate Me (with Juice WRLD),74,186223,False,0.657,0.768,0.759,75.025,pop
Shamoon Ismail,Taare,41,235625,False,0.674,0.46,0.266,91.953,pop
Anupam Roy,Boba Tunnel,49,247510,False,0.598,0.537,0.397,131.955,pop
